location,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E
20181010T0800,15.09,79.0,1020.5,1.1,0.0,100.0,100.0,100.0,100.0,16.52539,88.15238,24.162945,86.583405,29.07989,148.67131,29.478264,171.57303,170.0,1524.0,13.06,8.39
20181010T0900,15.1,83.0,1020.5,0.2,0.0,100.0,100.0,100.0,100.0,20.029667,76.148575,29.601109,76.63978,38.813274,139.51399,28.623962,173.50066,169.0,1526.0,13.05,8.57
20181010T1000,15.25,85.0,1020.4,0.0,0.0,100.0,100.0,100.0,100.0,22.761225,69.443954,34.171566,69.65589,36.145504,146.78474,30.54701,171.8699,169.0,1528.0,13.2,8.79
20181010T1100,15.47,85.0,1020.3,0.0,0.0,100.0,100.0,100.0,100.0,23.053991,67.58385,34.22841,67.75098,42.44032,145.36632,37.612675,174.50768,169.0,1529.0,13.46,8.64
20181010T1200,16.72,83.0,1018.5,0.0,0.0,100.0,23.0,100.0,100.0,18.132818,79.845726,27.343414,80.90972,30.589407,153.43495,35.369884,175.91438,154.0,1515.0,15.23,8.39
20181010T1300,16.75,85.0,1018.3,0.0,0.0,100.0,27.0,100.0,100.0,16.859142,84.55967,25.6233,85.97173,32.039997,154.01077,36.748222,182.24574,153.0,1515.0,15.31,8.18
20181010T1400,16.75,87.0,1018.0,0.0,0.0,100.0,30.0,56.0,100.0,16.7832,89.99999,25.562534,90.80693,34.03476,156.96056,38.351406,189.72758,150.0,1514.0,15.38,8.55
20181010T1500,16.7,88.0,1017.6,0.0,0.0,100.0,1.0,37.0,100.0,17.334433,92.64253,26.700743,93.865456,34.726475,160.62585,40.872288,185.55995,147.0,1512.0,15.48,9.35
20181010T1600,16.65,90.0,1017.5,0.0,0.0,100.0,83.0,100.0,100.0,16.27004,92.81555,24.546085,94.20535,34.66858,164.95361,41.66368,186.44954,147.0,1512.0,15.57,9.45
20181010T1700,16.62,92.0,1017.3,0.0,0.0,100.0,51.0,100.0,100.0,16.80222,92.72631,24.881702,93.31778,31.845247,169.57928,36.204617,199.15561,145.0,1511.0,15.51,9.35
20181010T1800,16.64,92.0,1017.1,0.0,0.0,100.0,13.0,100.0,100.0,16.27004,92.81555,24.162945,93.41658,26.642431,180.77422,33.77291,211.48747,143.0,1510.0,15.4,9.13
20181010T1900,16.69,92.0,1017.2,0.0,0.0,100.0,6.0,100.0,100.0,15.827838,96.76617,24.442911,99.323586,23.377836,189.75243,32.86861,208.81079,144.0,1511.0,15.45,9.29
20181010T2000,16.9,92.0,1017.5,0.0,0.0,100.0,0.0,100.0,100.0,15.1637535,108.434944,25.294964,114.376465,24.149532,190.30484,32.789658,199.23067,146.0,1514.0,15.88,9.44
20181010T2100,16.87,93.0,1017.5,0.0,0.0,100.0,1.0,100.0,100.0,14.346079,121.32869,23.904108,127.04247,24.503809,190.15427,31.404713,205.09625,147.0,1515.0,16.15,9.48
20181010T2200,16.86,94.0,1017.3,0.0,0.0,100.0,0.0,100.0,100.0,14.977747,128.50066,26.220753,135.55624,21.841648,188.53076,24.162947,208.4742,145.0,1514.0,16.3,9.82
20181010T2300,16.92,94.0,1017.2,0.0,0.0,100.0,0.0,100.0,100.0,14.603483,141.66666,26.61323,149.96672,18.175545,187.9696,25.630886,209.44543,144.0,1514.0,16.41,9.93
20181011T0000,16.91,95.0,1017.4,0.0,0.0,100.0,0.0,100.0,100.0,13.463086,152.92792,24.379204,163.70595,18.792551,200.17065,29.827904,203.471,146.0,1517.0,16.48,10.35
20181011T0100,16.92,93.0,1017.3,0.0,0.0,100.0,1.0,100.0,0.0,12.061772,149.47029,21.288757,161.25867,20.176065,195.52411,29.957972,200.39488,145.0,1518.0,16.62,10.45
20181011T0200,16.84,93.0,1017.4,0.0,0.0,100.0,1.0,100.0,100.0,10.052851,147.99461,17.418196,161.93953,20.06334,189.2933,25.277023,197.40271,146.0,1518.0,16.35,10.26
20181011T0300,16.78,95.0,1017.1,0.0,0.0,100.0,0.0,100.0,100.0,8.855547,133.78111,15.683774,148.13402,19.652176,188.42697,23.510508,191.482,143.0,1515.0,16.52,10.39
20181011T0400,16.73,95.0,1016.9,0.0,0.0,100.0,0.0,100.0,100.0,7.619226,126.46923,13.684735,144.63754,18.416384,184.4846,20.364674,188.1301,142.0,1514.0,16.45,10.33
20181011T0500,16.62,95.0,1016.8,0.0,0.0,100.0,1.0,0.0,100.0,6.4433565,119.74488,10.883676,145.7843,16.946787,167.73523,15.856356,177.39743,141.0,1512.0,16.3,10.12
20181011T0600,16.52,95.0,1016.5,0.0,0.0,100.0,2.0,6.0,100.0,5.619714,121.429565,9.021574,151.38954,19.353138,161.56505,18.161278,166.23921,138.0,1507.0,16.14,9.68
20181011T0700,16.49,95.0,1016.2,0.0,0.0,100.0,4.0,100.0,100.0,5.619714,95.44032,6.6087217,119.35774,19.930477,159.92847,20.620806,163.7798,136.0,1505.0,16.09,9.64
20181011T0800,16.51,95.0,1016.0,0.0,0.0,100.0,28.0,2.0,100.0,5.694981,79.2157,7.2,89.99999,18.532135,150.94539,23.847115,151.11342,134.0,1503.0,16.01,9.45
20181011T0900,16.52,95.0,1015.8,0.0,0.0,100.0,64.0,100.0,100.0,6.080693,61.18921,8.766573,70.820984,13.493999,133.91907,23.166218,147.05078,132.0,1501.0,15.93,9.06
20181011T1000,16.54,95.0,1015.5,0.7,0.0,100.0,62.0,100.0,100.0,6.415762,48.366455,9.983106,64.358986,14.561099,81.46923,18.792551,110.17065,130.0,1497.0,15.81,10.54
20181011T1100,16.54,95.0,1015.0,2.8,0.0,100.0,61.0,100.0,100.0,4.912173,12.528793,6.792466,32.005356,13.237039,67.61986,20.957443,94.9271,126.0,1492.0,15.59,10.03
20181011T1200,16.06,95.0,1015.4,1.4,0.0,100.0,47.0,100.0,100.0,5.600739,334.65384,10.495713,337.83365,8.049845,26.565033,2.8799999,89.99999,129.0,1490.0,15.11,7.45
20181011T1300,16.08,95.0,1014.8,0.6,0.0,100.0,86.0,90.0,100.0,8.014169,338.55228,14.241629,343.85568,7.7879906,33.690063,5.904439,142.4314,124.0,1484.0,15.13,7.28
20181011T1400,16.1,94.0,1014.4,0.1,0.0,100.0,73.0,16.0,100.0,9.795408,337.61987,17.193533,340.42688,6.379216,16.389526,8.669949,175.23636,121.0,1481.0,15.11,7.37
20181011T1500,16.06,93.0,1014.3,0.2,0.0,100.0,56.0,100.0,100.0,11.204646,331.607,18.03237,333.94653,8.64,360.0,6.2145634,190.00798,119.0,1477.0,14.96,7.36
20181011T1600,15.91,94.0,1013.9,0.6,0.0,100.0,55.0,100.0,100.0,11.102841,329.7436,17.727943,330.8324,9.9571085,347.4712,0.71999997,180.0,116.0,1473.0,14.82,7.47
20181011T1700,15.76,93.0,1013.6,0.5,0.0,100.0,37.0,100.0,100.0,9.697107,344.0546,15.379206,343.68616,11.435313,331.8214,1.08,180.0,114.0,1471.0,14.61,7.76
20181011T1800,15.71,92.0,1013.0,0.0,0.0,100.0,55.0,74.0,100.0,8.528962,1.7899017,12.245294,1.6846771,14.386494,328.29858,5.00128,239.74356,109.0,1466.0,14.55,7.78
20181011T1900,15.63,92.0,1012.5,0.0,0.0,100.0,64.0,100.0,100.0,7.1730385,15.068481,9.565437,19.798859,14.081477,327.5288,4.39436,214.99202,104.0,1462.0,14.51,7.85
20181011T2000,15.43,92.0,1012.1,0.0,0.0,100.0,100.0,100.0,100.0,7.8666973,28.30075,10.383987,33.690063,11.792404,328.73627,9.346143,195.64224,101.0,1460.0,14.31,8.27
20181011T2100,15.47,92.0,1012.7,0.0,0.0,100.0,100.0,100.0,100.0,2.9304,360.0,2.9024127,7.125,12.0694,287.35403,13.584932,237.99463,106.0,1462.0,14.24,7.45
20181011T2200,15.54,91.0,1012.8,0.0,0.0,100.0,8.0,2.0,100.0,4.3935814,284.03625,6.12,270.0,14.205182,261.25385,17.25373,246.64444,107.0,1462.0,14.43,6.83
20181011T2300,15.66,92.0,1012.9,0.0,0.0,100.0,0.0,0.0,100.0,11.483046,266.0091,17.106628,261.52887,18.455048,249.44395,19.969458,236.02345,108.0,1461.0,14.51,6.43
20181012T0000,15.12,92.0,1013.8,0.4,0.0,100.0,1.0,0.0,100.0,20.556002,266.28473,32.048088,268.71268,29.144438,252.01266,30.500309,239.50017,115.0,1465.0,13.72,5.77
20181012T0100,15.08,89.0,1014.4,0.2,0.0,100.0,0.0,0.0,100.0,29.613571,266.90594,46.148857,266.86975,44.31657,272.32782,34.2303,267.589,120.0,1466.0,13.52,4.82
20181012T0200,15.31,71.0,1014.9,0.0,0.0,100.0,0.0,0.0,100.0,29.125452,278.94537,44.29609,277.47156,66.0725,265.62524,42.525738,256.78726,124.0,1469.0,13.87,4.44
20181012T0300,15.04,78.0,1015.4,0.0,0.0,100.0,0.0,0.0,100.0,29.570402,270.0,45.36,270.0,69.08718,261.91214,64.77199,245.71417,128.0,1471.0,13.47,3.96
20181012T0400,14.37,78.0,1016.0,0.0,0.0,10.0,0.0,0.0,10.0,33.317043,268.16718,51.51146,267.99747,63.979813,264.83478,70.05122,257.53506,132.0,1471.0,12.55,3.15
20181012T0500,14.19,74.0,1016.6,0.0,0.0,10.0,0.0,0.0,10.0,31.74187,267.1136,48.305775,267.00967,67.92466,265.1355,67.51512,262.6476,137.0,1473.0,12.38,2.39
20181012T0600,14.27,74.0,1016.8,0.0,0.0,100.0,0.0,0.0,100.0,34.249756,261.05054,53.208195,261.04755,60.36203,264.86743,68.0619,263.92755,139.0,1473.0,12.35,1.84
20181012T0700,13.9,74.0,1017.2,0.0,0.0,49.0,0.0,0.0,49.0,35.789925,259.27557,54.932743,259.42648,63.948406,265.156,67.79575,266.65143,142.0,1475.0,11.9,1.58
20181012T0800,13.95,73.0,1018.0,0.0,0.0,66.0,0.0,0.0,66.0,34.9624,262.11688,53.71726,262.68448,59.76,270.0,67.06927,276.7817,149.0,1481.0,11.94,1.54
20181012T0900,14.13,73.0,1018.7,0.0,0.0,100.0,0.0,0.0,100.0,33.870537,267.29514,51.90121,267.21698,60.72059,275.10217,66.81856,279.61456,155.0,1487.0,12.08,1.52
20181012T1000,14.41,72.0,1019.5,0.0,0.0,89.0,0.0,0.0,89.0,33.033596,270.0,50.399998,270.0,57.072205,274.7036,64.789,283.49573,161.0,1495.0,12.37,1.4
20181012T1100,14.51,73.0,1019.9,0.0,0.0,100.0,9.0,0.0,100.0,32.102028,275.2375,48.824814,275.50043,56.753403,283.9481,62.844494,289.0577,164.0,1499.0,12.46,1.48
20181012T1200,14.75,73.0,1018.4,0.0,0.0,12.0,0.0,0.0,12.0,33.59282,272.27246,51.90121,272.78302,61.21376,280.84735,63.336475,282.14026,152.0,1490.0,12.92,2.47
20181012T1300,14.57,74.0,1018.9,0.0,0.0,10.0,0.0,0.0,10.0,33.95947,274.9503,52.767944,275.08826,65.32685,285.3382,62.483593,281.63364,156.0,1493.0,12.66,2.21
20181012T1400,14.45,76.0,1019.5,0.0,0.0,10.0,0.0,0.0,10.0,34.00959,275.84457,52.836666,275.86597,66.143074,288.7308,59.660156,287.56027,161.0,1498.0,12.46,2.3
20181012T1500,14.5,77.0,1020.0,0.0,0.0,10.0,0.0,0.0,10.0,33.643482,278.19427,52.441505,278.68634,57.484005,295.60217,55.577747,290.07825,166.0,1503.0,12.48,2.47
20181012T1600,14.51,79.0,1020.7,0.0,0.0,10.0,0.0,0.0,10.0,32.339905,281.4025,49.708687,282.12375,51.72111,303.35825,51.61953,300.1414,171.0,1509.0,12.44,2.72
20181012T1700,14.56,79.0,1021.4,0.0,0.0,10.0,0.0,0.0,10.0,30.417465,287.3241,46.10952,287.72763,48.674606,306.2766,45.74267,305.06592,177.0,1516.0,12.47,3.0
20181012T1800,14.51,79.0,1022.0,0.0,0.0,10.0,0.0,0.0,10.0,27.779785,294.35303,42.039925,294.80942,45.31569,308.87308,43.85651,307.99872,182.0,1521.0,12.36,3.1
20181012T1900,14.45,79.0,1022.9,0.0,0.0,10.0,0.0,0.0,10.0,25.906628,300.25644,38.896664,300.59998,42.333305,311.5526,39.966484,314.63507,189.0,1528.0,12.24,3.2
20181012T2000,14.26,80.0,1023.2,0.0,0.0,10.0,0.0,0.0,10.0,25.122242,304.19562,38.251587,305.0362,37.705597,312.67847,36.93291,313.0251,191.0,1530.0,11.99,3.26
20181012T2100,14.16,80.0,1023.6,0.0,0.0,10.0,0.0,0.0,10.0,23.262379,309.8896,35.768856,310.10092,34.17157,311.58344,34.44167,311.1859,194.0,1531.0,11.87,3.12
20181012T2200,14.1,82.0,1024.4,0.0,0.0,10.0,0.0,0.0,10.0,20.199022,318.74298,30.378967,319.32507,29.871325,310.60132,32.26572,305.46338,201.0,1539.0,11.75,2.58
20181012T2300,13.86,83.0,1025.1,0.0,0.0,10.0,0.0,0.0,10.0,15.611131,334.74686,22.862123,333.83844,25.63847,308.15723,29.354904,303.4952,206.0,1543.0,11.48,2.38
20181013T0000,13.53,82.0,1025.9,0.0,0.0,10.0,0.0,0.0,10.0,10.925647,1.397171,15.158522,4.085617,23.277834,301.7236,26.980793,301.3571,212.0,1548.0,11.13,2.44
20181013T0100,13.39,81.0,1026.3,0.0,0.0,10.0,0.0,3.0,10.0,9.041916,44.999985,13.324863,51.58194,21.749481,294.44397,25.49908,300.54758,216.0,1551.0,11.03,2.41
20181013T0200,13.39,77.0,1026.6,0.0,0.0,19.0,0.0,19.0,0.0,9.770018,64.13365,14.039999,67.38013,20.799152,293.45905,23.532547,299.31,218.0,1553.0,11.0,2.57
20181013T0300,13.37,75.0,1026.7,0.0,0.0,0.0,0.0,0.0,0.0,9.697107,74.054596,13.450708,74.47588,18.919704,291.19406,20.497883,300.6186,219.0,1553.0,10.96,2.59
20181013T0400,13.45,78.0,1026.4,0.0,0.0,10.0,0.0,1.0,10.0,9.770018,78.99645,13.627795,77.79953,17.114204,292.24902,18.289274,306.1932,217.0,1552.0,11.08,2.66
20181013T0500,13.46,81.0,1026.5,0.0,0.0,10.0,0.0,0.0,10.0,9.092791,84.95755,13.397612,83.82981,16.267857,294.8637,15.815435,311.3086,217.0,1552.0,11.08,2.71
20181013T0600,13.44,80.0,1026.3,0.0,0.0,10.0,0.0,0.0,10.0,8.80733,93.46823,12.6462,94.899086,14.277983,303.69006,13.044722,320.59937,215.0,1551.0,11.08,2.89
20181013T0700,13.54,78.0,1026.2,0.0,0.0,31.0,0.0,31.0,0.0,9.10449,110.556046,12.904882,112.98871,11.246759,309.80557,10.144082,332.52557,215.0,1551.0,11.19,2.86
20181013T0800,13.74,79.0,1026.4,0.0,0.0,34.0,0.0,34.0,10.0,10.052851,122.00538,14.57889,122.90524,7.42159,320.90616,7.2359104,354.28943,217.0,1552.0,11.38,2.64
20181013T0900,13.87,80.0,1026.7,0.0,0.0,10.0,0.0,0.0,10.0,10.609277,128.88449,14.84318,129.09386,5.95906,334.98312,4.379589,9.462311,219.0,1556.0,11.47,2.35
20181013T1000,13.81,80.0,1027.0,0.0,0.0,10.0,0.0,0.0,10.0,10.17913,137.1211,14.264361,137.04541,4.73506,351.25385,3.096837,35.53766,222.0,1558.0,11.39,2.26
20181013T1100,13.63,80.0,1027.1,0.0,0.0,10.0,0.0,0.0,10.0,10.028111,140.38931,14.336861,141.11551,4.0249224,26.565033,3.96,89.99999,222.0,1558.0,11.18,2.26
20181013T1200,14.4,77.0,1026.2,0.0,0.0,10.0,0.0,0.0,10.0,10.444103,142.25319,15.484185,144.46231,7.69592,100.784294,3.6179552,95.71059,216.0,1555.0,12.07,2.78
20181013T1300,14.26,79.0,1026.1,0.0,0.0,10.0,0.0,0.0,10.0,11.191971,141.76617,16.199999,143.1301,7.072878,104.74355,3.5455887,113.96249,215.0,1553.0,11.94,2.51
20181013T1400,14.1,79.0,1026.0,0.0,0.0,10.0,0.0,0.0,10.0,10.9839525,140.90614,16.135872,141.34018,6.830519,108.434944,4.1046314,127.874985,214.0,1552.0,11.76,2.39
20181013T1500,13.94,77.0,1025.9,0.0,0.0,10.0,0.0,0.0,10.0,10.752136,138.01279,15.281989,136.90915,8.427383,109.9831,5.495161,121.6075,213.0,1550.0,11.61,2.43
20181013T1600,13.82,74.0,1025.8,0.0,0.0,0.0,0.0,0.0,0.0,10.172155,135.0,14.255272,135.0,11.119281,119.054596,7.9036193,120.06859,212.0,1549.0,11.49,2.5
20181013T1700,13.73,74.0,1025.9,0.0,0.0,0.0,0.0,0.0,0.0,9.623643,131.63354,13.513193,131.7603,14.264361,132.95459,9.504272,127.30394,213.0,1549.0,11.4,2.54
20181013T1800,13.66,74.0,1025.6,0.0,0.0,0.0,0.0,0.0,0.0,8.795236,125.13419,12.387348,125.537674,15.30741,138.81407,10.195057,132.13759,210.0,1546.0,11.37,2.57
20181013T1900,13.58,74.0,1025.3,0.0,0.0,0.0,0.0,0.0,0.0,7.8712068,113.96249,11.440979,114.14554,13.237038,135.0,9.931042,136.4688,208.0,1544.0,11.32,2.63
20181013T2000,13.43,76.0,1025.1,0.0,0.0,0.0,0.0,0.0,0.0,8.466324,102.72436,12.144331,101.97613,11.019764,128.36748,9.931042,136.4688,206.0,1542.0,11.15,2.66
20181013T2100,13.24,80.0,1025.0,0.0,0.0,12.0,0.0,0.0,12.0,9.460013,99.72758,13.493999,99.21102,9.290511,125.537674,10.009036,142.30576,205.0,1540.0,10.96,2.68
20181013T2200,12.91,83.0,1025.1,0.0,0.0,100.0,0.0,0.0,100.0,10.9224,102.680374,15.463244,102.09476,8.78872,124.99202,10.587918,144.68878,206.0,1540.0,10.52,2.6
20181013T2300,12.46,90.0,1025.0,0.0,0.0,100.0,0.0,0.0,100.0,11.636527,105.9454,16.766108,104.93142,10.00256,120.25643,11.592894,143.84181,204.0,1539.0,10.2,2.69
20181014T0000,12.39,90.0,1025.0,0.0,0.0,100.0,0.0,0.0,100.0,11.125191,106.69924,15.827721,107.19854,13.0447235,117.97947,12.599998,143.1301,204.0,1539.0,10.03,2.67
20181014T0100,12.91,84.0,1024.6,0.0,0.0,100.0,0.0,0.0,100.0,10.362241,107.96913,14.458382,108.886086,16.199999,126.869896,14.20062,149.53445,202.0,1537.0,10.59,2.62
20181014T0200,13.84,76.0,1024.3,0.0,0.0,10.0,0.0,1.0,10.0,10.9839525,112.83366,15.646544,113.02549,19.373219,138.01279,16.055353,160.34618,200.0,1537.0,11.7,2.65
20181014T0300,14.43,72.0,1024.0,0.0,0.0,49.0,0.0,49.0,10.0,13.596844,124.62416,20.172853,124.82449,21.370783,147.38075,16.87398,168.9298,198.0,1536.0,12.29,2.51
20181014T0400,14.5,73.0,1023.3,0.0,0.0,98.0,0.0,98.0,10.0,14.697942,133.53119,21.638964,134.32596,21.42227,155.15761,15.4800005,180.0,192.0,1531.0,12.43,2.7
20181014T0500,14.62,74.0,1022.9,0.0,0.0,91.0,0.0,91.0,10.0,14.139292,137.2906,20.65848,138.53229,20.780453,165.96376,14.145756,194.74356,189.0,1529.0,12.58,2.74
20181014T0600,14.68,74.0,1022.5,0.0,0.0,63.0,0.0,63.0,10.0,13.386435,137.4195,19.64228,138.71529,20.598795,174.9869,14.512064,209.74489,186.0,1526.0,12.7,2.83
20181014T0700,14.69,74.0,1022.4,0.0,0.0,57.0,0.0,57.0,10.0,14.892213,137.17474,21.407139,137.72632,20.957443,175.07289,14.88242,212.1523,185.0,1525.0,12.7,3.03
20181014T0800,14.63,74.0,1022.6,0.0,0.0,66.0,0.0,66.0,10.0,16.27004,140.31454,23.838959,141.74557,20.883104,179.01224,15.141414,208.39302,186.0,1527.0,12.61,3.07
20181014T0900,14.69,76.0,1022.6,0.0,0.0,43.0,0.0,43.0,0.0,16.309252,141.6325,24.122686,142.27501,20.316889,187.12502,16.09969,206.56505,187.0,1528.0,12.67,3.22
20181014T1000,14.86,79.0,1022.8,0.0,0.0,100.0,0.0,100.0,10.0,17.103626,142.59464,25.199997,143.1301,20.523157,195.25513,17.727943,209.16762,188.0,1530.0,12.82,3.42
20181014T1100,14.78,79.0,1022.9,0.0,0.0,100.0,0.0,0.0,100.0,18.028807,145.8403,26.161375,145.6539,23.34455,197.03777,20.188908,211.13898,189.0,1531.0,12.73,3.41
20181014T1200,14.49,72.0,1021.9,0.0,0.0,10.0,0.0,0.0,10.0,10.788378,159.77515,15.596767,161.14684,6.9153743,231.3402,10.041354,255.46555,181.0,1519.0,12.46,2.74
20181014T1300,14.42,72.0,1021.7,0.0,0.0,10.0,0.0,0.0,10.0,10.0281105,163.00917,14.345898,162.47443,7.289445,237.09476,9.693296,248.1986,179.0,1517.0,12.42,2.66
20181014T1400,14.4,72.0,1021.5,0.0,0.0,10.0,0.0,0.0,10.0,9.5644655,167.125,13.627795,167.79953,7.928177,230.52754,10.00256,239.74356,178.0,1516.0,12.41,2.62
20181014T1500,14.38,73.0,1021.4,0.0,0.0,10.0,0.0,0.0,10.0,9.649418,173.6598,13.75558,173.991,9.686609,221.98721,12.096214,233.47115,177.0,1515.0,12.39,2.7
20181014T1600,14.36,75.0,1021.5,0.0,0.0,10.0,0.0,0.0,10.0,9.889148,175.36453,14.440443,175.71085,12.181624,214.1597,15.124284,231.76617,178.0,1516.0,12.36,2.75
20181014T1700,14.4,77.0,1021.3,0.0,0.0,95.0,0.0,0.0,95.0,10.17913,173.991,14.512064,172.87498,13.479583,214.11447,18.278645,237.875,176.0,1515.0,12.39,2.94
20181014T1800,14.23,78.0,1020.5,0.0,0.0,100.0,4.0,0.0,100.0,8.787163,165.96376,12.57426,166.75948,12.768586,229.57393,20.456745,241.63095,170.0,1509.0,12.29,3.06
20181014T1900,14.18,79.0,1020.3,0.0,0.0,100.0,5.0,0.0,100.0,9.266738,161.56505,13.5515,163.00917,14.05845,230.19443,20.808498,239.88626,168.0,1507.0,12.25,3.08
20181014T2000,14.25,79.0,1020.4,0.0,0.0,100.0,40.0,0.0,100.0,11.760889,166.90811,17.026896,166.55139,18.668005,219.52263,21.749481,245.55606,168.0,1507.0,12.31,3.02
20181014T2100,14.53,77.0,1020.4,0.0,0.0,100.0,34.0,0.0,100.0,13.583788,168.69006,20.192118,168.69006,21.166653,228.44739,22.226902,245.09525,169.0,1508.0,12.58,3.06
20181014T2200,14.82,75.0,1020.7,0.0,0.0,30.000002,100.0,17.0,10.0,15.243108,174.9869,22.065973,174.38242,22.180206,234.24612,22.565422,236.05641,171.0,1511.0,12.87,3.08
20181014T2300,14.83,76.0,1020.4,0.0,0.0,100.0,100.0,100.0,17.0,15.719857,179.02898,23.40277,179.11859,22.183128,228.28925,21.252197,231.18861,169.0,1509.0,12.91,3.12
20181015T0000,15.03,75.0,1020.8,0.0,0.0,100.0,34.0,51.0,100.0,15.941764,189.61972,23.675303,188.74615,23.333443,231.89243,23.469128,228.7314,172.0,1512.0,13.11,2.99
20181015T0100,14.91,73.0,1020.7,0.0,0.0,39.0,0.0,24.0,39.0,14.181891,208.00919,20.774214,207.89728,21.30093,239.53445,24.29133,230.41187,171.0,1511.0,12.98,3.04
20181015T0200,14.97,71.0,1020.2,0.0,0.0,100.0,6.0,11.0,100.0,12.438341,223.2643,17.566378,224.16968,22.065973,241.76256,28.075384,229.15964,168.0,1508.0,13.12,2.99
20181015T0300,15.04,71.0,1019.8,0.0,0.0,100.0,0.0,0.0,100.0,11.830079,234.16235,16.78156,234.60521,22.065973,241.76256,28.51282,232.69606,164.0,1504.0,13.22,3.04
20181015T0400,14.9,70.0,1019.7,0.0,0.0,100.0,100.0,36.0,100.0,11.833079,238.81503,16.676977,237.3391,21.461555,247.30621,27.698954,242.10274,163.0,1503.0,13.08,2.93
20181015T0500,14.92,69.0,1019.6,0.0,0.0,100.0,100.0,100.0,10.0,11.102841,239.74356,15.1884165,238.57043,22.702845,255.30269,27.381308,245.11963,162.0,1502.0,13.14,2.92
20181015T0600,14.98,70.0,1019.5,0.0,0.0,100.0,100.0,100.0,0.0,11.191971,231.76617,15.856354,230.52754,25.161398,250.78732,28.84047,245.67444,161.0,1502.0,13.21,2.91
20181015T0700,15.11,70.0,1019.6,0.0,0.0,100.0,100.0,100.0,0.0,11.504656,222.18445,16.323528,221.42366,26.525429,251.81096,29.168886,245.96571,162.0,1503.0,13.33,3.05
20181015T0800,15.22,71.0,1019.4,0.0,0.0,100.0,100.0,100.0,10.0,11.305533,214.439,16.075521,214.04594,23.906818,251.56506,29.035288,250.44176,161.0,1503.0,13.47,3.22
20181015T0900,15.27,72.0,1019.5,0.0,0.0,100.0,100.0,100.0,10.0,12.047054,215.09583,17.0763,214.69516,20.523157,254.74487,30.173496,250.48413,162.0,1504.0,13.5,3.45
20181015T1000,15.27,72.0,1019.6,0.0,0.0,100.0,100.0,100.0,0.0,12.734365,217.34935,18.0,216.8699,18.919704,248.80594,30.312773,254.14807,163.0,1505.0,13.49,3.47
20181015T1100,15.24,70.0,1019.3,0.0,0.0,0.0,0.0,0.0,0.0,12.245709,224.11859,17.566378,225.83032,21.178896,238.20108,30.737339,251.56506,160.0,1502.0,13.48,3.53
20181015T1200,16.11,64.0,1018.0,0.0,0.0,10.0,0.0,0.0,10.0,12.161386,241.18921,17.287498,238.627,21.629978,251.56506,24.735432,248.66315,150.0,1495.0,14.49,3.64
20181015T1300,15.96,66.0,1017.6,0.0,0.0,10.0,0.0,0.0,10.0,11.928654,240.57254,16.923828,240.70865,22.26477,247.16635,23.263912,248.1986,147.0,1491.0,14.36,3.62
20181015T1400,15.86,66.0,1017.5,0.0,0.0,10.0,0.0,0.0,10.0,11.676102,235.22217,16.489416,233.88066,21.603,246.4253,23.990698,244.20398,146.0,1490.0,14.27,3.64
20181015T1500,15.8,66.0,1017.4,0.0,0.0,10.0,0.0,0.0,10.0,11.880961,227.72632,16.80857,226.73572,22.476227,238.09189,26.121714,240.25513,145.0,1489.0,14.2,3.55
20181015T1600,15.8,65.0,1017.2,0.0,0.0,10.0,0.0,0.0,10.0,12.831524,228.36647,18.59845,227.3533,23.904108,232.95752,28.757215,235.71313,143.0,1486.0,14.22,3.41
20181015T1700,15.76,64.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,14.020842,231.17018,20.523157,232.12502,25.41763,232.4809,30.599998,233.1301,141.0,1484.0,14.19,3.29
20181015T1800,15.7,64.0,1016.6,0.0,0.0,10.0,0.0,0.0,10.0,14.338656,234.83357,20.969807,235.49149,25.199997,233.1301,29.6383,229.92711,138.0,1480.0,14.16,3.23
20181015T1900,15.67,64.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,13.596844,235.37584,19.469976,236.30994,23.000591,230.0796,28.296091,233.2759,133.0,1476.0,14.17,3.22
20181015T2000,15.59,66.0,1015.8,0.0,0.0,0.0,0.0,0.0,0.0,12.859147,230.04245,18.11841,229.02826,22.45315,228.9005,27.381306,241.75027,132.0,1474.0,14.1,3.26
20181015T2100,15.43,68.0,1015.7,0.0,0.0,0.0,0.0,0.0,0.0,12.734365,217.34935,18.079027,215.27243,23.441502,227.48956,24.881702,238.60974,131.0,1474.0,13.94,3.3
20181015T2200,15.31,71.0,1015.4,0.0,0.0,0.0,0.0,0.0,0.0,13.586399,208.0725,19.483284,207.51201,22.828087,232.04578,24.023088,240.36162,128.0,1471.0,13.82,3.4
20181015T2300,15.26,72.0,1015.2,0.0,0.0,10.0,0.0,0.0,10.0,15.013241,207.47443,21.575987,205.70996,22.380884,244.25931,24.795612,244.17902,126.0,1470.0,13.78,3.62
